DATAFLOW,LAST UPDATE,freq,age,n_lang,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Austria,2022,4.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Belgium,2022,13.7,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Bulgaria,2022,27.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Cyprus,2022,4.5,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Czechia,2022,6.1,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Germany,2022,6.2,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Denmark,2022,13.2,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Euro area – 20 countries (from 2023),2022,11.8,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Estonia,2022,,u,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Greece,2022,8.6,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,Spain,2022,24.1,,
ESTAT:EDAT_AES_L21$DEFAULTVIEW(1.0),,Annual,From 18 to 24 years,No languages,Percentage,Total,European Union - 27 countries (from 2020),2022,12.7,,
