DATAFLOW,LAST UPDATE,freq,age,unit,n_lang,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2014,973940.3,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2015,971297.7,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2016,943650.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2017,950183.6,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2018,957232.8,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2019,966415.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2020,969722.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2021,982653.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2022,981639.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Austria,2023,1010004.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Bosnia and Herzegovina,2020,386852.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Bosnia and Herzegovina,2022,373059.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Bosnia and Herzegovina,2023,368273.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2014,1470804.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2015,1503330.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2016,1494023.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2017,1527955.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2018,1519549.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2019,1561797.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2020,1094300.0,bd,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2021,1107889.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2022,1107700.0,,
ESTAT:EDUC_UOE_LANG02$DEFAULTVIEW(1.0),09/04/25 23:00:00,Annual,Total,Number,Corresponding (total) number of students enrolled,Primary and secondary education (levels 1-3),Belgium,2023,1126357.0,,
